search URL:,https://patents.google.com/?q=testosterone,,,,,,,
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
US6416780B1,Intravaginal drug delivery devices for the administration of testosterone and testosterone precursors ,Galen (Chemicals) Limited,"Clare Passmore, Claire Gilligan",7/05/97,7/05/98,9/07/02,9/07/02,https://patents.google.com/patent/US6416780B1/en
US6987129B2,Compounds and methods for the treatment of urogenital disorders ,"Cellegy Pharmaceuticals, Inc.","Vivien H. W. Mak, Stephen Grayson",6/03/01,6/03/02,17/01/06,17/01/06,https://patents.google.com/patent/US6987129B2/en
US4210644A,Male contraception ,The Johns Hopkins University,"Larry L. Ewing, Claude Desjardins",23/02/78,23/02/78,1/07/80,1/07/80,https://patents.google.com/patent/US4210644A/en
US7214381B2,Composition for transdermal and/or transmucosal administration of active compounds that ensures adequate therapeutic levels ,Antares Pharma Ipl Ag,"Dario Carrara, Gabriel Porto, Jorge Rodriguez",3/08/00,3/08/01,8/05/07,8/05/07,https://patents.google.com/patent/US7214381B2/en
WO2000066084A1,Aerosol formulations and devices for increasing libido in women via acute testosterone administration ,Aradigm Corporation,"Reid M. Rubsamen, Robert Cole",4/05/99,3/05/00,9/11/00,,https://patents.google.com/patent/WO2000066084A1/en
US3198792A,"10alpha methyl, 9beta hormonal steroids ",Philips Corp,"Reerink Engbert Harmen, Westerhof Pieter, Scholer Hendrik Frederik Louis",12/06/62,12/06/62,3/08/65,3/08/65,https://patents.google.com/patent/US3198792A/en
US20030027804A1,Therapeutic combinations for the treatment of hormone deficiencies ,Van Der Hoop Roland Gerritsen,Roland van der Hoop,27/06/01,27/06/01,6/02/03,,https://patents.google.com/patent/US20030027804A1/en
US20040002482A1,Androgen pharmaceutical composition and method for treating depression ,"Dudley Robert E., Kottayil S. George, Olivier Palatchi","Robert Dudley, S. Kottayil, Olivier Palatchi",30/08/00,15/03/02,1/01/04,,https://patents.google.com/patent/US20040002482A1/en
US20030139384A1,Method for treating erectile dysfunction and increasing libido in men ,Dudley Robert E.,Robert Dudley,30/08/00,18/10/02,24/07/03,,https://patents.google.com/patent/US20030139384A1/en
US7320968B2,Pharmaceutical composition ,"Bentley Pharmaceuticals, Inc.",Robert J. Gyurik,19/04/02,21/04/03,22/01/08,22/01/08,https://patents.google.com/patent/US7320968B2/en
US4313734A,Metal sol particle immunoassay ,Akzona Incorporated,Johannes H. W. Leuvering,13/07/78,13/07/79,2/02/82,2/02/82,https://patents.google.com/patent/US4313734A/en
US3850752A,Process for the demonstration and determination of low molecular compounds and of proteins capable of binding these compounds specifically ,Akzona Inc,"A Schuurs, Weemen B Van",10/11/70,29/10/71,26/11/74,26/11/74,https://patents.google.com/patent/US3850752A/en
US4373932A,Application of water-dispersible hydrophobic dyes or pigments as labels in immunoassays ,Akzona Incorporated,"Thomas C. J. Gribnau, Frits Roeles, Johannes H. W. Leuvering",11/01/80,2/01/81,15/02/83,15/02/83,https://patents.google.com/patent/US4373932A/en
US4596795A,Administration of sex hormones in the form of hydrophilic cyclodextrin derivatives ,"The United States Of America As Represented By The Secretary, Dept. Of Health & Human Services",Josef Pitha,25/04/84,25/04/84,24/06/86,24/06/86,https://patents.google.com/patent/US4596795A/en
US5024998A,Pharmaceutical formulations for parenteral use ,University Of Florida,Nicholas S. Bodor,30/12/87,11/12/89,18/06/91,18/06/91,https://patents.google.com/patent/US5024998A/en
US5947921A,Chemical and physical enhancers and ultrasound for transdermal drug delivery ,Massachusetts Institute Of Technology,"Mark E. Johnson, Samir S. Mitragotri, Daniel Blankschtein, Robert S. Langer, Michael Pishko, Joseph Kost",18/12/95,18/12/95,7/09/99,7/09/99,https://patents.google.com/patent/US5947921A/en
US6299900B1,Dermal penetration enhancers and drug delivery systems involving same ,Monash University,"Barry Leonard Reed, Timothy Matthias Morgan, Barrie Charles Finnin",19/02/96,19/02/97,9/10/01,9/10/01,https://patents.google.com/patent/US6299900B1/en
US5434146A,Controlled release systems and low dose androgens ,"Endorecherche, Inc.","Fernand Labrie, Martin Lepage",28/06/91,24/06/92,18/07/95,18/07/95,https://patents.google.com/patent/US5434146A/en
US6773714B2,Polymeric delivery formulations of leuprolide with improved efficacy ,"Atrix Laboratories, Inc.","Richard L. Dunn, John Steven Garrett, Harish Ravivarapu, Bhagya L. Chandrashekar",28/10/98,24/02/03,10/08/04,10/08/04,https://patents.google.com/patent/US6773714B2/en
US6569896B2,Selective androgen receptor modulators and methods of use thereof ,The University Of Tennessee Research Corporation,"James T. Dalton, Duane D. Miller, Donghua Yin, Yali He",24/08/00,23/08/01,27/05/03,27/05/03,https://patents.google.com/patent/US6569896B2/en
US6503894B1,Pharmaceutical composition and method for treating hypogonadism ,"Unimed Pharmaceuticals, Inc., Laboratories Besins Iscovesco","Robert E. Dudley, S. George Kottayil, Olivier Palatchi",30/08/00,30/08/00,7/01/03,7/01/03,https://patents.google.com/patent/US6503894B1/en
US4704282A,Transdermal therapeutic system having improved delivery characteristics ,Alza Corporation,"Patricia S. Campbell, James B. Eckenhoff",29/06/84,29/06/84,3/11/87,3/11/87,https://patents.google.com/patent/US4704282A/en
US5759551A,Immunogenic LHRH peptide constructs and synthetic universal immune stimulators for vaccines ,"United Biomedical, Inc.","Anna Efim Ladd, Chang Yi Wang, Timothy Joseph Zamb",27/04/93,28/04/94,2/06/98,2/06/98,https://patents.google.com/patent/US5759551A/en
US4127118A,Method of effecting and enhancing an erection ,Alvaro Latorre,Alvaro Latorre,16/03/77,16/03/77,28/11/78,28/11/78,https://patents.google.com/patent/US4127118A/en
US6306431B1,Apparatus for heating to a desired temperature for improved administration of pharmaceutically active compounds ,"Zars, Inc.","Jie Zhang, Hao Zhang",28/07/95,7/04/00,23/10/01,23/10/01,https://patents.google.com/patent/US6306431B1/en
US6492554B2,Selective androgen receptor modulators and methods of use thereof ,The University Of Tennessee Research Corporation,"James T. Dalton, Duane D. Miller, Donghua Yin, Yali He",24/08/00,23/08/01,10/12/02,10/12/02,https://patents.google.com/patent/US6492554B2/en
US5968919A,Hormone replacement therapy drug formulations for topical application to the skin ,Macrochem Corporation,"Carlos M. Samour, Scott F. Krauser, Robert J. Gyurik",16/10/97,16/10/97,19/10/99,19/10/99,https://patents.google.com/patent/US5968919A/en
US5340584A,Methods and formulations for use in inhibiting conception and in treating benign gynecological disorders ,University Of Southern California,"Darcy V. Spicer, Malcolm C. Pike",12/04/91,10/04/92,23/08/94,23/08/94,https://patents.google.com/patent/US5340584A/en
US4540564A,Brain-specific drug delivery ,University Of Florida,Nicholas S. Bodor,18/05/82,22/07/83,10/09/85,10/09/85,https://patents.google.com/patent/US4540564A/en
US5340585A,Method and formulations for use in treating benign gynecological disorders ,University Of Southern California,"Malcolm C. Pike, Darcy V. Spicer",12/04/91,17/05/93,23/08/94,23/08/94,https://patents.google.com/patent/US5340585A/en
US6582724B2,Dual enhancer composition for topical and transdermal drug delivery ,"Dermatrends, Inc.","Tsung-Min Hsu, Eric C. Jacobson, Rose C. LoBello, Eric C. Luo",16/12/99,4/10/01,24/06/03,24/06/03,https://patents.google.com/patent/US6582724B2/en
US6160011A,Non-steroidal agonist compounds and their use in male hormone therapy ,The University Of Tennessee Research Corporation,"Duane D. Miller, Leonid I. Kirkovsky, James T. Dalton, Arnab Mukherjee",30/05/97,29/05/98,12/12/00,12/12/00,https://patents.google.com/patent/US6160011A/en
US5340586A,Methods and formulations for use in treating oophorectomized women ,University Of Southern California,"Malcolm C. Pike, Darcy V. Spicer",12/04/91,17/05/93,23/08/94,23/08/94,https://patents.google.com/patent/US5340586A/en
US5855905A,Compound preparation for the treatment of hypogonadal men and men with hypophyseal diseases ,Jenapharm Gmbh & Co. Kg,"Michael Oettel, Siegfried Golbs, Michael Dittgen, Carsten Timpe, Thomas Graser, Doris Hubler",2/05/96,30/04/97,5/01/99,5/01/99,https://patents.google.com/patent/US5855905A/en
US6107289A,Ocular therapy in keratoconjunctivitis sicca using topically applied androgens or TGF-β ,"The Schepens Eye Research Institute, Inc.",David A. Sullivan,21/04/92,17/03/99,22/08/00,22/08/00,https://patents.google.com/patent/US6107289A/en
US6180608B1,Pharmaceutical formulations for sustained drug delivery ,"Praecis Pharmaceuticals, Inc.","Malcolm L. Gefter, Nicholas Barker, Gary Musso, Christopher J. Molineaux",11/12/96,11/12/97,30/01/01,30/01/01,https://patents.google.com/patent/US6180608B1/en
US5525727A,Brain-specific drug delivery ,University Of Florida,Nicholas S. Bodor,18/05/82,28/10/92,11/06/96,11/06/96,https://patents.google.com/patent/US5525727A/en
US5958912A,Ocular therapy in keratoconjunctivitis sicca using topically applied androgens of TGF-β ,"The Schepens Eye Research Institute, Inc.",David A. Sullivan,21/04/92,17/11/97,28/09/99,28/09/99,https://patents.google.com/patent/US5958912A/en
US5362720A,Methods of treating or preventing breast or endometrial cancer with low dose non-masculinizing androgenic compounds ,"Endorecherche, Inc.",Fernand Labrie,28/06/91,8/02/93,8/11/94,8/11/94,https://patents.google.com/patent/US5362720A/en
US5017566A,Redox systems for brain-targeted drug delivery ,University Of Florida,Nicholas S. Bodor,30/12/87,3/11/89,21/05/91,21/05/91,https://patents.google.com/patent/US5017566A/en
US4877774A,Administration of steroid hormones ,The United States Of America As Represented By The Department Of Health And Human Services,"Josef Pitha, Mitchell Harman, Kaneto Uekama",9/09/87,9/09/87,31/10/89,31/10/89,https://patents.google.com/patent/US4877774A/en
US6238284B1,Transdermal compositions with enhanced skin penetration properties ,"Jenapharm Gmbh & Co. Kg, Lts Lohmann Therapie-Systeme Ag","Michael Dittgen, Sabine Fricke, Christoph Völkel, Kathrin Ahrens, Hagen Gerecke, Kai Köpke",13/01/97,13/01/98,29/05/01,29/05/01,https://patents.google.com/patent/US6238284B1/en
US6469016B1,Treatment of female sexual dysfunction using phosphodiesterase inhibitors ,"Vivus, Inc.","Virgil A. Place, Leland F. Wilson, Paul C. Doherty, Jr., Mark S. Hanamoto, Alfred P. Spivack, Neil Gesundheit, Sean R. Bennett",28/10/97,8/02/00,22/10/02,22/10/02,https://patents.google.com/patent/US6469016B1/en
US5641517A,Composition comprising fertilized shell eggs ,Drymed As,"Bj.o slashed.dne Eskeland, Peder Gjendemsj.o slashed.",29/07/92,22/07/93,24/06/97,24/06/97,https://patents.google.com/patent/US5641517A/en
US6117446A,Drug dosage unit for buccal administration of steroidal active agents ,Place; Virgil A.,Virgil A. Place,26/01/99,26/01/99,12/09/00,12/09/00,https://patents.google.com/patent/US6117446A/en
US4479932A,Brain-specific drug delivery ,University Of Florida,Nicholas S. Bodor,18/05/82,18/05/82,30/10/84,30/10/84,https://patents.google.com/patent/US4479932A/en
US7026500B2,Halogenated selective androgen receptor modulators and methods of use thereof ,University Of Tennessee Research Foundation,"James T. Dalton, Duane D. Miller, Mitchell S. Steiner, Karen A. Veverka",24/08/00,24/02/03,11/04/06,11/04/06,https://patents.google.com/patent/US7026500B2/en
US7135550B2,Three hybrid assay system ,"Gpc Biotech Inc., Gpc Biotech Ag","Jon H. Come, Frank Becker, Nikolai A. Kley, Christoph Reichel",2/03/01,3/09/02,14/11/06,14/11/06,https://patents.google.com/patent/US7135550B2/en
US5620921A,Ocular androgen therapy in sjogren's syndrome ,"The Schepens Eye Research Institute, Inc.",David A. Sullivan,21/04/92,21/09/93,15/04/97,15/04/97,https://patents.google.com/patent/US5620921A/en
US6620587B1,Ribosome complexes as selection particles for in vitro display and evolution of proteins ,Discerna Limited,"Michael John Taussig, Mingyue He",28/05/97,28/05/98,16/09/03,16/09/03,https://patents.google.com/patent/US6620587B1/en
US4617299A,"Method for the prevention of ocular hypertension, treatment of glaucoma and treatment of ocular hypertension ",Knepper Paul A,Paul A. Knepper,19/12/83,22/10/84,14/10/86,14/10/86,https://patents.google.com/patent/US4617299A/en
US6998500B2,Selective androgen receptor modulators and methods of use thereof ,University Of Tennessee Research Foundation,"James T. Dalton, Duane D. Miller, Yali He, Donghua Yin",24/08/00,16/10/02,14/02/06,14/02/06,https://patents.google.com/patent/US6998500B2/en
US6756053B2,Controlled heat induced rapid delivery of pharmaceuticals from skin depot ,"Zars, Inc.","Jie Zhang, Wade Hull, Larry Rigby",28/07/95,11/06/01,29/06/04,29/06/04,https://patents.google.com/patent/US6756053B2/en
US6512002B2,Methods of treatment for premature ejaculation in a male ,Pfizer Inc.,"Andrew G. Lee, Wesley W. Day, David D. Thompson",12/01/00,10/01/01,28/01/03,28/01/03,https://patents.google.com/patent/US6512002B2/en
US7507398B2,Delivery of physiologically active compounds through an inhalation route ,"Alexza Pharmaceuticals, Inc.","Joshua D Rabinowitz, Alejandro C Zaffaroni",24/05/01,30/06/06,24/03/09,24/03/09,https://patents.google.com/patent/US7507398B2/en
US7198801B2,Formulations for transdermal or transmucosal application ,Antares Pharma Ipl Ag,"Dario Norberto R. Carrara, Arnaud Grenier, Celine Besse, Stephen M. Simes, Leah M. Lehman",3/08/00,10/03/04,3/04/07,3/04/07,https://patents.google.com/patent/US7198801B2/en
US5935949A,Use of androgen therapy in fibromyalgia and chronic fatigue syndrome ,Trustees Of Dartmouth College,Hillary D. White,20/03/98,10/03/99,10/08/99,10/08/99,https://patents.google.com/patent/US5935949A/en
US6007837A,Drug delivery devices and process of manufacture ,Alza Corporation,"David J. Enscore, Patricia S. Campbell, Diane Nedberge, Richard D. Frame",3/07/96,3/02/99,28/12/99,28/12/99,https://patents.google.com/patent/US6007837A/en
US4867982A,Transdermal drug delivery device ,Alza Corporation,"Patricia S. Campbell, James B. Eckenhoff, Virgil A. Place",13/01/86,26/01/88,19/09/89,19/09/89,https://patents.google.com/patent/US4867982A/en
US6086915A,Compositions and methods of adjusting steroid hormone metabolism through phytochemicals ,Bioresponse L.L.C.,"Michael A. Zeligs, Irwin C. Jacobs",1/04/98,1/04/98,11/07/00,11/07/00,https://patents.google.com/patent/US6086915A/en
US6395744B1,Method and compositions for the treatment or amelioration of female sexual dysfunction ,Queen's University At Kingston,"Michael A. Adams, Jeremy P. W. Heaton",22/04/94,18/06/99,28/05/02,28/05/02,https://patents.google.com/patent/US6395744B1/en
US4317817A,Novel steroid 5α-reductase inhibitors ,Richardson-Merrell Inc.,"Thomas R. Blohm, Brian W. Metcalf",27/08/79,15/12/80,2/03/82,2/03/82,https://patents.google.com/patent/US4317817A/en
US6506607B1,Methods and compositions for the identification and assessment of prostate cancer therapies and the diagnosis of prostate cancer ,"Millennium Pharmaceuticals, Inc.",Andrew W. Shyjan,24/12/97,23/12/98,14/01/03,14/01/03,https://patents.google.com/patent/US6506607B1/en
US4000252A,Immunoscintillation cell ,Kenneth Kosak,Kenneth Kosak,4/01/74,4/01/74,28/12/76,28/12/76,https://patents.google.com/patent/US4000252A/en
US6708822B1,Compositions and kits for compounding pharmaceuticals ,"Cutispharma, Inc.",Indu A. Muni,30/11/99,7/11/00,23/03/04,23/03/04,https://patents.google.com/patent/US6708822B1/en
US6284262B1,Compact dosage unit for buccal administration of a pharmacologically active agent ,Virgil A. Place,Virgil A. Place,26/01/99,26/01/99,4/09/01,4/09/01,https://patents.google.com/patent/US6284262B1/en
US5891868A,Methods for treating postmenopausal women using ultra-low doses of estrogen ,"Kaiser Foundation Health Plan, Inc., Permanente Medical Group, Inc., The Regents Of The University Of California, Berlex Laboratories","Steven Cummings, Herman Ellman, Bruce Ettinger",21/11/97,21/11/97,6/04/99,6/04/99,https://patents.google.com/patent/US5891868A/en
US7473560B2,Steroid hormone analysis by mass spectrometry ,Georgetown University,Steven J. Soldin,14/04/03,14/04/04,6/01/09,6/01/09,https://patents.google.com/patent/US7473560B2/en
US6960474B2,Method for the treatment of a condition remediable by administration of a selective androgen receptor modulator ,Bristol-Myers Squibb Company,"Mark E. Salvati, Marco M. Gottardis, Ricardo M. Attar, Stanley R. Krystek, Jr., John S. Sack",28/06/00,20/06/01,1/11/05,1/11/05,https://patents.google.com/patent/US6960474B2/en
US5846189A,System for quantifying asynchrony between signals ,Pincus; Steven M.,Steven M. Pincus,8/09/89,27/11/96,8/12/98,8/12/98,https://patents.google.com/patent/US5846189A/en
US6709849B2,Dietary supplements for regulating male hormone ,Ultra Biotech Limited,Ling Yuk Cheung,28/06/02,28/06/02,23/03/04,23/03/04,https://patents.google.com/patent/US6709849B2/en
US4235960A,Competitive enzyme-linked immunoassay ,"The Medical College Of Wisconsin, Inc.","Edward A. Sasse, Donald E. Yorde",29/07/77,29/07/77,25/11/80,25/11/80,https://patents.google.com/patent/US4235960A/en
US5639743A,Compositions and methods for treating exocrine gland atrophy ,"University Of Georgia Research Foundation, University Of Southern California","Renee Kaswan, Austin K. Mircheff, Dwight W. Warren",13/11/92,30/06/94,17/06/97,17/06/97,https://patents.google.com/patent/US5639743A/en
US6017964A,Method of increasing testosterone ,Pfizer Inc.,"David B. MacLean, David D. Thompson",28/02/96,9/12/98,25/01/00,25/01/00,https://patents.google.com/patent/US6017964A/en
US6583129B1,Administration of non-oral androgenic steroids to women ,"Watson Pharmaceuticals, Inc.","Norman A. Mazer, Theresa Rosario-Jansen",11/06/99,9/06/00,24/06/03,24/06/03,https://patents.google.com/patent/US6583129B1/en
US6399116B1,Rhodiola and used thereof ,Rulin Xiu,Rulin Xiu,28/04/00,28/04/00,4/06/02,4/06/02,https://patents.google.com/patent/US6399116B1/en
US5750137A,Monoglyceride/lactate ester permeation enhancer ,"Taskovich; Lina Tormen, Yum; Su Il, Lee; Eun Soo, Crisologo; Nieves Marzan","Lina Tormen Taskovich, Su Il Yum, Eun Soo Lee, Nieves Marzan Crisologo",29/09/93,29/09/94,12/05/98,12/05/98,https://patents.google.com/patent/US5750137A/en
US4812448A,"Method for the prevention of ocular hypertension, treatment of glaucoma and treatment of ocular hypertension ",Knepper Paul A,Paul A. Knepper,22/10/84,14/10/86,14/03/89,14/03/89,https://patents.google.com/patent/US4812448A/en
US8486374B2,"Hydrophilic, non-aqueous pharmaceutical carriers and compositions and uses ",Foamix Ltd.,"Dov Tamarkin, Meir Eini, Doron Friedman, Alex Besonov, David Schuz, Tal Berman, Jorge Danziger, Rita KEYNAN, Ella Zlatkis",4/08/03,14/01/08,16/07/13,16/07/13,https://patents.google.com/patent/US8486374B2/en
US6117429A,Compositions and treatments for reducing potential unwanted side effects associated with long-term administration of androgenic testosterone precursors ,"Weider Nutrition International, Inc",Luke R. Bucci,11/08/97,11/08/98,12/09/00,12/09/00,https://patents.google.com/patent/US6117429A/en
US5994335A,17-azolyl steroids useful as androgen synthesis inhibitors ,"The University Of Maryland, Baltimore","Angela Brodie, Vincent C. O. Njar",17/10/97,17/10/97,30/11/99,30/11/99,https://patents.google.com/patent/US5994335A/en
US7384650B2,Skin permeation enhancement composition for transdermal hormone delivery system ,"Agile Therapeutics, Inc.",Te-Yen Chien,24/11/99,17/07/03,10/06/08,10/06/08,https://patents.google.com/patent/US7384650B2/en
US6228852B1,Transdermal application of naturally occurring steroid hormones ,Carolyn V. Shaak,Carolyn V. Shaak,12/07/96,8/07/97,8/05/01,8/05/01,https://patents.google.com/patent/US6228852B1/en
